srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeans,dmeans,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,ct_src_ltm,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,is_ftp_login,attack_cat,label
2001:6f8:102d:0:1033:c4c:7e57:b19e,5353,ff02::fb,5353,udp,CON,3.8505799770355225,1670,0,255,0,0,0,other,433.7008995942727,0.0,8,0,0,0,0,0,208.75000000000003,0.0,0,0,761.6799324892445,0.0,550.0828538622175,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
2001:6f8:102d:0:2d0:9ff:fee3:e8de,59201,2001:6f8:900:7c0::2,80,tcp,SF,0.029608964920043945,620,2507,64,64,0,0,http,20939.60399069161,84670.30194300623,6,4,0,0,0,0,103.33333333333334,626.75,0,0,6.041864304892623,8.401885156225775,5.921792984008789,4.916350046793619,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
