flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_ms,end_ms,flow_duration_ms,fwd_pkts,bwd_pkts,tot_pkts,fwd_bytes,bwd_bytes,tot_bytes,pps,bps,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,bwd_pkt_len_std,flow_pkt_len_mean,flow_pkt_len_std,flow_pkt_len_min,flow_pkt_len_max,fwd_iat_mean_ms,fwd_iat_std_ms,bwd_iat_mean_ms,bwd_iat_std_ms,iat_flow_mean_ms,iat_flow_std_ms,fwd_syn,fwd_ack,fwd_fin,fwd_rst,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_to_fwd_pkt_ratio,bwd_to_fwd_byte_ratio
0,10.10.1.4,56166,10.10.1.1,53,17,1254722767492,1254722767526,34,1,1,2,62,128,190,58.780388337269024,44673.09513632446,62.0,0.0,128.0,0.0,95.0,46.66904755831214,0,0,0.0,0.0,0.0,0.0,34.024953842163086,0.0,0,0,0,0,0,0,0,0,1.0,2.064516129032258
1,10.10.1.4,1470,74.53.140.153,25,6,1254722767529,1254722775106,7577,28,25,53,21673,1546,23219,6.994194674726598,24512.93677773236,774.0357142857142,733.5365113558175,61.84,44.582021787562155,438.0943396226415,639.6350601394921,0,0,280.62847808555324,457.75239615542364,301.28178993860877,570.5701662302878,145.72525024414068,350.59448164773215,1,27,1,0,1,25,1,0,0.8928571428571429,0.07133299497070088
2,10.10.1.20,138,10.10.1.255,138,17,1254722776690,1254722776690,1,1,0,1,229,0,229,1000.0,1832000.0,229.0,0.0,0.0,0.0,229.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
