flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_ms,end_ms,flow_duration_ms,fwd_pkts,bwd_pkts,tot_pkts,fwd_bytes,bwd_bytes,tot_bytes,pps,bps,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,bwd_pkt_len_std,flow_pkt_len_mean,flow_pkt_len_std,flow_pkt_len_min,flow_pkt_len_max,fwd_iat_mean_ms,fwd_iat_std_ms,bwd_iat_mean_ms,bwd_iat_std_ms,iat_flow_mean_ms,iat_flow_std_ms,fwd_syn,fwd_ack,fwd_fin,fwd_rst,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_to_fwd_pkt_ratio,bwd_to_fwd_byte_ratio
0,192.168.170.8,32795,192.168.170.20,53,17,1112172466496,1112172737733,271237,12,12,24,724,1160,1884,0.08848339315012463,55.56757089827826,60.333333333333336,4.334498677803326,96.66666666666667,61.49254697386777,78.5,46.49544157179843,0,0,24651.339444247158,23211.12445949171,24657.891620289196,23175.82526854589,11792.927731638369,20008.863745747873,0,0,0,0,0,0,0,0,1.0,1.6022099447513811
1,192.168.170.8,32796,192.168.170.20,53,17,1112172737737,1112172737737,1,1,1,2,68,91,159,2000.0,1272000.0,68.0,0.0,91.0,0.0,79.5,16.263455967290593,0,0,0.0,0.0,0.0,0.0,0.5879402160644531,0.0,0,0,0,0,0,0,0,0,1.0,1.338235294117647
2,192.168.170.8,32797,192.168.170.20,53,17,1112172737740,1112172737758,18,1,1,2,53,152,205,109.36764840093349,89681.47168876546,53.0,0.0,152.0,0.0,102.5,70.0035713374682,0,0,0.0,0.0,0.0,0.0,18.286943435668945,0.0,0,0,0,0,0,0,0,0,1.0,2.8679245283018866
3,192.168.170.56,1707,217.13.4.24,53,17,1112172737755,1112172737775,19,1,1,2,115,115,230,100.95323368714949,92876.97499217754,115.0,0.0,115.0,0.0,115.0,0.0,0,0,0.0,0.0,0.0,0.0,19.811153411865234,0.0,0,0,0,0,0,0,0,0,1.0,1.0
4,192.168.170.56,1708,217.13.4.24,53,17,1112172737776,1112172737793,17,1,1,2,84,84,168,115.59970233993882,77682.99997243888,84.0,0.0,84.0,0.0,84.0,0.0,0,0,0.0,0.0,0.0,0.0,17.301082611083984,0.0,0,0,0,0,0,0,0,0,1.0,1.0
5,192.168.170.56,1709,217.13.4.24,53,17,1112172737794,1112172737813,19,1,1,2,126,126,252,101.60497087002338,102417.81063698356,126.0,0.0,126.0,0.0,126.0,0.0,0,0,0.0,0.0,0.0,0.0,19.6840763092041,0.0,0,0,0,0,0,0,0,0,1.0,1.0
6,192.168.170.56,1710,217.13.4.24,53,17,1112172737915,1112172737932,16,1,1,2,69,69,138,118.17437486792984,65232.254927097274,69.0,0.0,69.0,0.0,69.0,0.0,0,0,0.0,0.0,0.0,0.0,16.924142837524414,0.0,0,0,0,0,0,0,0,0,1.0,1.0
7,192.168.170.56,1711,217.13.4.24,53,17,1112172745357,1112172745375,18,1,1,2,69,69,138,111.03091910207539,61289.06734434562,69.0,0.0,69.0,0.0,69.0,0.0,0,0,0.0,0.0,0.0,0.0,18.01300048828125,0.0,0,0,0,0,0,0,0,0,1.0,1.0
