srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeans,dmeans,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,ct_src_ltm,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,is_ftp_login,attack_cat,label
0.0.0.0,68,255.255.255.255,67,udp,CON,0.07003116607666016,600,0,250,0,0,0,other,8567.61401549712,0.0,2,0,0,0,0,0,300.0,0.0,0,0,0.0,0.0,70.03116607666016,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.0.1,67,192.168.0.10,68,udp,CON,0.07005000114440918,656,0,128,0,0,0,other,9364.739318813796,0.0,2,0,0,0,0,0,328.0,0.0,0,0,0.0,0.0,70.05000114440918,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
