flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_ms,end_ms,flow_duration_ms,fwd_pkts,bwd_pkts,tot_pkts,fwd_bytes,bwd_bytes,tot_bytes,pps,bps,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,bwd_pkt_len_std,flow_pkt_len_mean,flow_pkt_len_std,flow_pkt_len_min,flow_pkt_len_max,fwd_iat_mean_ms,fwd_iat_std_ms,bwd_iat_mean_ms,bwd_iat_std_ms,iat_flow_mean_ms,iat_flow_std_ms,fwd_syn,fwd_ack,fwd_fin,fwd_rst,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_to_fwd_pkt_ratio,bwd_to_fwd_byte_ratio
0,0.0.0.0,68,255.255.255.255,67,17,1102274184317,1102274184387,70,2,0,2,600,0,600,28.558713384990398,68540.91212397696,300.0,0.0,0.0,0.0,300.0,0.0,0,0,70.03116607666016,0.0,0.0,0.0,70.03116607666016,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1,192.168.0.1,67,192.168.0.10,68,17,1102274184317,1102274184387,70,2,0,2,656,0,656,28.551034508578645,74917.91455051037,328.0,0.0,0.0,0.0,328.0,0.0,0,0,70.05000114440918,0.0,0.0,0.0,70.05000114440918,0.0,0,0,0,0,0,0,0,0,0.0,0.0
