flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_ms,end_ms,flow_duration_ms,fwd_pkts,bwd_pkts,tot_pkts,fwd_bytes,bwd_bytes,tot_bytes,pps,bps,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,bwd_pkt_len_std,flow_pkt_len_mean,flow_pkt_len_std,flow_pkt_len_min,flow_pkt_len_max,fwd_iat_mean_ms,fwd_iat_std_ms,bwd_iat_mean_ms,bwd_iat_std_ms,iat_flow_mean_ms,iat_flow_std_ms,fwd_syn,fwd_ack,fwd_fin,fwd_rst,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_to_fwd_pkt_ratio,bwd_to_fwd_byte_ratio
0,131.151.32.21,4167,131.151.37.122,143,6,942357327542,942357353323,25781,56,50,106,3006,22773,25779,4.111550550551559,7999.370690012729,53.678571428571416,30.22527969213077,455.4599999999999,540.8409253473819,243.19811320754727,421.41854366981414,0,0,468.7459642236884,1141.2817342027872,526.1302237607997,1206.5898387305763,245.53360030764622,853.6794230313519,1,55,1,0,1,50,1,0,0.8928571428571429,7.575848303393213
1,131.151.37.122,1350,131.151.32.91,1056,17,942357327864,942357327864,1,1,0,1,36,0,36,1000.0,288000.0,36.0,0.0,0.0,0.0,36.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
2,131.151.32.91,3614,131.151.37.122,1065,6,942357327871,942357352030,24159,8,2,10,704,512,1216,0.4139185243368179,402.65994047485646,88.0,51.314158447185484,256.0,56.568542494923804,121.6,86.14612908050805,0,0,3451.3348511287145,9005.58012307766,24003.456950187683,0.0,2684.371550877889,7946.15690939325,0,8,0,0,0,2,0,0,0.25,0.7272727272727273
3,131.151.37.122,1359,131.151.32.91,1063,17,942357351863,942357351863,1,1,0,1,36,0,36,1000.0,288000.0,36.0,0.0,0.0,0.0,36.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
4,131.151.32.91,1065,131.151.37.117,1065,6,942357351868,942357352031,162,4,1,5,352,168,520,30.765818235164673,25597.160771657007,88.0,55.42562584220407,168.0,0.0,104.0,59.86651818838306,0,0,54.17267481486003,93.81072610133845,0.0,0.0,40.62950611114502,78.50257495461264,0,4,0,0,0,1,0,0,0.25,0.4772727272727273
5,131.151.37.122,1360,131.151.32.91,1056,17,942357351870,942357351870,1,1,0,1,36,0,36,1000.0,288000.0,36.0,0.0,0.0,0.0,36.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
